Номер;Название планшета;Цена в сомах;Цена в долларах;Описание;Картинка;Ссылка на детализацию
1;Электронная книга Amazon Kindle Paperwhite 2018 8GB розовая;13240 (som);155.8 (usd);"



        электронная книга 6""; E-Ink Pearl, с подсветкой; сенсорный ввод; разрешение 1448x1072; 16 оттенков серого; Wi-Fi             ";https://www.kivano.kg/images/product/89096/1613648732_07370300.jpg;https://www.kivano.kg/product/view/elektronnaya-kniga-amazon-kindle-paperwhite-2018-8gb-rozovaya
2;Электронная книга Amazon Kindle 9 (2019) 8GB белая;8910 (som);104.8 (usd);"



        Электронная книга 6""; E-Ink Pearl, с подсветкой; емкостный сенсорный ввод; разрешение 800x600; 16 оттенков серого; Wi-Fi, Bluetooth; карты памяти не поддерживаются; Объем памяти 8 Гб            ";https://www.kivano.kg/images/product/89653/1614940522_23217700.jpg;https://www.kivano.kg/product/view/elektronnaya-kniga-amazon-kindle-9-2019-8gb-belaya
3;Планшет Xiaomi Mi Pad 5 6/128Gb серый;33200 (som);390.6 (usd);"



        планшет, Android 11, Экран IPS 11"", 2560x1600, Частота процессора 1780 Мгц, Память 128 Гб, Оперативная память: 6 Гб, Камера 13 Мп, Фронтальная камера 8 Мп, Wi-Fi, Bluetooth, Емкость аккумулятора: 8720...            ";https://www.kivano.kg/images/product/97106/1630641972_82100100.jpg;https://www.kivano.kg/product/view/planshet-xiaomi-mi-pad-5-6-128gb-seryy
4;Электронная книга Pocketbook 740 Inkpad 3 Pro серая;27170 (som);319.6 (usd);"



        
	сенсорный дисплей, 7.8"" (1872x1404)
	E-Ink Carta, с подсветкой
	16 оттенков серого
	влагозащита
	Wi-Fi
	карты памяти не поддерживаются
	ресурс аккумулятора: 15000 страниц
	ШхДхТ: 137х195х8 мм, 215 г

            ";https://www.kivano.kg/images/product/88405/1612255283_23762900.jpg;https://www.kivano.kg/product/view/elektronnaya-kniga-pocketbook-740-inkpad-3-pro-seraya
5;Электронная книга Amazon Kindle Oasis 2017 32GB Серая;23940 (som);281.6 (usd);"



        Электронная книга 7""; E-Ink Carta, с подсветкой; сенсорный ввод; разрешение 1440x1080; 16 оттенков серого; Wi-Fi; карты памяти не поддерживаются            ";https://www.kivano.kg/images/product/71256/71256.png;https://www.kivano.kg/product/view/elektronnaya-kniga-amazon-kindle-oasis-2017-32gb-seraya
6;Sony Xperia Z2 Tablet 16Gb 4G;49070 (som);577.3 (usd);"



        Экран 10.1"", ОС Android 4.4, Кол-во SIM 1, Фотокамера 8.1мп, Фронт. камера 2,2 мп, Ядра 4, Опер. память 3гб, Встр. память 16гб, 3G, WiFi            ";https://www.kivano.kg/images/product/4701/4701.jpg;https://www.kivano.kg/product/view/sony-xperia-z2-tablet-16gb-4g
7;Графический планшет Wacom Intuos Pro Small PTH460K0A;25690 (som);302.2 (usd);"



        Тип графический планшет; Размеры (ДxШxТ) 269x170x8 мм; Вес 450 г; Размер рабочей области (ДxШ) 160x100 мм; Количество линий на дюйм (lpi) 5080; Формат A6; Перо есть            ";https://www.kivano.kg/images/product/88925/1613186757_55160200.jpg;https://www.kivano.kg/product/view/graficheskiy-planshet-wacom-intuos-pro-small-pth460k0a
8;Электронная книга Amazon Kindle 9 2019 Черная;8910 (som);104.8 (usd);"



        Электронная книга 6""; E-Ink Pearl, с подсветкой; емкостный сенсорный ввод; разрешение 800x600; 16 оттенков серого; Wi-Fi, Bluetooth; карты памяти не поддерживаются            ";https://www.kivano.kg/images/product/70531/70531.png;https://www.kivano.kg/product/view/elektronnaya-kniga-amazon-kindle-9-2019-chernaya
9;Электронная книга PocketBook PB632-K-CIS бронзовый;19100 (som);224.7 (usd);"



        Электронная книга 6""; E-Ink Carta, с подсветкой; емкостный сенсорный ввод; разрешение 1872x1404; 16 оттенков серого; Wi-Fi; карты памяти microSD, microSDHC            ";https://www.kivano.kg/images/product/70806/70806.png;https://www.kivano.kg/product/view/elektronnaya-kniga-pocketbook-pb632-k-cis-bronzovyy
10;Графический планшет Wacom Intuos Medium CTL6100WLE-N;21400 (som);251.8 (usd);"



        
	формат: A5
	размер рабочей области (ДхШ): 216х135 мм
	количество линий на дюйм (lpi): 2540
	количество уровней нажима: 4096
	перо в комплекте: да
	дополнительные функции: Express Keys, bluetooth
	длина: 264 мм
	ширина: 200 мм

            ";https://www.kivano.kg/images/product/92063/1620424497_54073100.jpg;https://www.kivano.kg/product/view/graficheskiy-planshet-wacom-intuos-medium-ctl6100wle-n
