Название;Картинка;Описание;Доставка;Ссылка на детализацию
LANDSKRONA ЛАНДСКРУНА;https://www.ikea.com/ru/ru/images/products/landskrona-landskruna-divan-2-mestnyy-grann-bumstad-belyy-metall__0320972_pe514794_s5.jpg?f=xxs;Диван 2-местный;[];https://www.ikea.com/ru/ru/p/landskrona-landskruna-divan-2-mestnyy-grann-bumstad-belyy-metall-s09248902/
KLIPPAN КЛИППАН;https://www.ikea.com/ru/ru/images/products/klippan-2-mestnyy-divan-bumstad-chernyy__0813176_pe772310_s5.jpg?f=xxs;2-местный диван;[];https://www.ikea.com/ru/ru/p/klippan-klippan-2-mestnyy-divan-bumstad-chernyy-40468326/
KLIPPAN КЛИППАН;https://www.ikea.com/ru/ru/images/products/klippan-2-mestnyy-divan-glose-bumstad-belyy__0797923_pe767054_s5.jpg?f=xxs;2-местный диван;[];https://www.ikea.com/ru/ru/p/klippan-klippan-2-mestnyy-divan-glose-bumstad-belyy-20468327/
VIMLE ВИМЛЕ;https://www.ikea.com/ru/ru/images/products/vimle-2-mestnyy-divan-grann-bumstad-zolotisto-korichnevyy__0817323_pe773958_s5.jpg?f=xxs;2-местный диван;[];https://www.ikea.com/ru/ru/p/vimle-vimle-2-mestnyy-divan-grann-bumstad-zolotisto-korichnevyy-s49306301/
LANDSKRONA ЛАНДСКРУНА;https://www.ikea.com/ru/ru/images/products/landskrona-landskruna-divan-2-mestnyy-grann-bumstad-belyy-metall__0320972_pe514794_s5.jpg?f=xxs;Диван 2-местный;[];https://www.ikea.com/ru/ru/p/landskrona-landskruna-divan-2-mestnyy-grann-bumstad-belyy-metall-s09248902/
KLIPPAN КЛИППАН;https://www.ikea.com/ru/ru/images/products/klippan-2-mestnyy-divan-bumstad-chernyy__0813176_pe772310_s5.jpg?f=xxs;2-местный диван;[];https://www.ikea.com/ru/ru/p/klippan-klippan-2-mestnyy-divan-bumstad-chernyy-40468326/
KLIPPAN КЛИППАН;https://www.ikea.com/ru/ru/images/products/klippan-2-mestnyy-divan-glose-bumstad-belyy__0797923_pe767054_s5.jpg?f=xxs;2-местный диван;[];https://www.ikea.com/ru/ru/p/klippan-klippan-2-mestnyy-divan-glose-bumstad-belyy-20468327/
VIMLE ВИМЛЕ;https://www.ikea.com/ru/ru/images/products/vimle-2-mestnyy-divan-grann-bumstad-zolotisto-korichnevyy__0817323_pe773958_s5.jpg?f=xxs;2-местный диван;[];https://www.ikea.com/ru/ru/p/vimle-vimle-2-mestnyy-divan-grann-bumstad-zolotisto-korichnevyy-s49306301/
VIMLE ВИМЛЕ;https://www.ikea.com/ru/ru/images/products/vimle-3-mestnyy-divan-grann-bumstad-zolotisto-korichnevyy__0817365_pe773986_s5.jpg?f=xxs;3-местный диван;[];https://www.ikea.com/ru/ru/p/vimle-vimle-3-mestnyy-divan-grann-bumstad-zolotisto-korichnevyy-s09306652/
VIMLE ВИМЛЕ;https://www.ikea.com/ru/ru/images/products/vimle-3-mestnyy-divan-s-otkrytym-torcom-grann-bumstad-zolotisto-korichnevyy__0817384_pe773998_s5.jpg?f=xxs;3-местный диван;[];https://www.ikea.com/ru/ru/p/vimle-vimle-3-mestnyy-divan-s-otkrytym-torcom-grann-bumstad-zolotisto-korichnevyy-s89306672/
